Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
    0.475506373080748E-04
    0.481922470317056E-04
    0.488424688379495E-04
    0.495014183235069E-04
    0.501692126366884E-04
    0.508459704982419E-04
    0.515318122224586E-04
    0.522268597385623E-04
    0.529312366123866E-04
    0.536450680683420E-04
    0.543684810116784E-04
    0.551016040510467E-04
    0.558445675213625E-04
    0.565975035069772E-04
    0.573605458651604E-04
    0.581338302498965E-04
    0.589174941360015E-04
    0.597116768435637E-04
    0.605165195627117E-04
    0.613321653787153E-04
    0.621587592974234E-04
    0.629964482710429E-04
    0.638453812242644E-04
    0.647057090807376E-04
    0.655775847899030E-04
    0.664611633541829E-04
    0.673566018565381E-04
    0.682640594883940E-04
    0.691836975779419E-04
    0.701156796188199E-04
    0.710601712991787E-04
    0.720173405311379E-04
    0.729873574806375E-04
    0.739703945976900E-04
    0.749666266470386E-04
    0.759762307392271E-04
    0.769993863620863E-04
    0.780362754126441E-04
    0.790870822294625E-04
    0.801519936254099E-04
    0.812311989208726E-04
    0.823248899774121E-04
    0.834332612318744E-04
    0.845565097309574E-04
    0.856948351662416E-04
    0.868484399096910E-04
    0.880175290496321E-04
    0.892023104272131E-04
    0.904029946733547E-04
    0.916197952461967E-04
    0.928529284690455E-04
    0.941026135688328E-04
    0.953690727150902E-04
    0.966525310594457E-04
    0.979532167756521E-04
    0.992713611001513E-04
    0.100607198373184E-03
    0.101960966080449E-03
    0.103332904895329E-03
    0.104723258721669E-03
    0.106132274737144E-03
    0.107560203437204E-03
    0.109007298679598E-03
    0.110473817729515E-03
    0.111960021305315E-03
    0.113466173624881E-03
    0.114992542452593E-03
    0.116539399146929E-03
    0.118107018708709E-03
    0.119695679829983E-03
    0.121305664943579E-03
    0.122937260273314E-03
    0.124590755884876E-03
    0.126266445737397E-03
    0.127964627735707E-03
    0.129685603783301E-03
    0.131429679836009E-03
    0.133197165956390E-03
    0.134988376368853E-03
    0.136803629515523E-03
    0.138643248112851E-03
    0.140507559208988E-03
    0.142396894241928E-03
    0.144311589098431E-03
    0.146251984173737E-03
    0.148218424432081E-03
    0.150211259468020E-03
    0.152230843568589E-03
    0.154277535776278E-03
    0.156351699952872E-03
    0.158453704844131E-03
    0.160583924145350E-03
    0.162742736567793E-03
    0.164930525906020E-03
    0.167147681106122E-03
    0.169394596334860E-03
